Histoire de Merlin,
Le saint Graal,
La Mort d'Artus,
La Quête du saint Graal,
Lancelot du Lac,Story of Merlin
La Droite forme pour vivre,The Holy Grail
Le Livre du cloistre de l'ame,The Death of Arthur
Le Mirouer de mortel vie,The Quest for the Holy Grail
Les Meditacions saint Anseaume,Lancelot of the Lake
Miroir des dames,The Right Way to Live
Bedford Psalter and Hours,The Book of the Cloister of the Soul
La Fleur des Histoires de la terre d'Orient and five other travel accounts,Mirror of Mortal Life
A shewing in generall wordis that a sawle corruptithe with synne hit must be waishid and clensid from the filthe of sinne…',Meditations of St. Anselm
Foure thingis be nedefull to evere Cristen man and woman to rule theein be to obtayne the blisse of heuen,Mirror of Ladies
Here beginneth a tretes of mekeues,
Here foloing be the artikill of the faith,
Here is foling a short and a frutefull tretes how that ther was assembelid viii wide men and masters for to declare what meret tribulacion is for manne mekely sufferd,
Here is the mirroure of sinnes,
Ho sumener saith this praier in the worship of the passion shall haue C. 3ere of pardon,
Iehsu the sonne of mare mylde,
"Mirror of St Edmund, imperfect",
Prose Life of St Catherine,
Prose Life of St Margaret,
The Charter of our eritage,
the pardon of the monastery of Shene whiche is Syon,
Theis be the wordis that our saueoure Iehsu spake to his holy spouse and virgen Sent Moll,
"treatise on 'fowre maner of wasshingis,' imperfect",
Verse Life of St Anne,
Verse Life of St Patrick,
Autres Balades (Plusieurs Balades de Divers Propos),
Balades de Plusieurs Façons,
Cent Balades d'Amant et de Dame,
Encore autres balades,
Enseignemens que Cristine donne à son Filz (Les Enseignemens Moraux),Other Ballads
Lay de Vers L'onimes,Ballads of Several Kinds
Livre de Poissy,One Hundred Ballads of a Lover and a Lady
Prologue adreçant à la royne,Still Other Ballads
Quinze Joyes Nostre Dame Rimées,Instructions that Christine Gives to Her Son (Moral Teachings)
Un Autre Lay,
Une Autre Complainte amoureuse,The Book of Poissy
Une Complainte amoureuse,Prologue Addressing the Queen
Une Oroison de la Vie et Passion de Nostre Seigneur,Fifteen Joys of Our Lady in Rhyme
Une Oroison Nostre Dame,Another Lay
Estoire del Saint Graal,Another Love Complaint
La Morte le Roi Artu,A Love Complaint
La Queste del Saint Graal,A Prayer on the Life and Passion of Our Savior
Breviaire des nobles,A Prayer to Our Lady
Chevalier au Cygne,The Story of the Holy Grail
Cronicles de Normandie,The Death of King Arthur
Guy de Warwick,The Quest for the Holy Grail
Heraud d'Ardennes,
L'Ordre de la jarretier,
Le Livre de la conqueste du roy Alixandre,
Le Livre des fais d'armes et de chevalerie,
Le Livre du roy Charlemaine,
Livre de politique,
Ogier le Danois,
Quatre fils Aimon,
Arbre des batailles,
Chroniques de Burgos,
Grande Biblie historiale complétée,
Bible moralisée,
Rational des divins offices,Tree of Battles
Histoire ancienne jusqu'à César,Chronicles of Burgos
Décades,Great Complete Illuminated Bible
La Fleur des histoires,Illuminated Bible
Miroir historial v. 1,
Tristan en prose,Ancient History to Caesar
Vita Jesu Christi,History of Rome
Ci nous dit,The Flower of History
Le seul parler de Saint Augustin,Mirror of History v. 1
L'Horloge de sapience,Prose Tristan
Les Douze périls d'enfer,
Image du monde,Now We Are Told
Livre des femmes nobles et renommées,Meditations of St. Augustine
Epistre à la Royne de France,The Clock of Knowledge
Epistre à Eustace Morel,
Livre de Prudence,Image of the World
Proverbes Moraulx,Book of Noble and Renowned Women
Faiz d'Alexandre,
Livre de Sydrac,Letter to Eustace Morel
Pèlerinage de l'Ame,The Book of Prudence
