BL Harley MS 4431,"Prologue adreçant à la royne! Cent balades! Virelais! Balades de Plusieurs Façons! Lay de Vers L'onimes! Un Autre Lay! ""Rondeaux""! Jeux à Vendre! Autres Balades (Plusieurs Balades de Divers Propos)! Une Complainte amoureuse! Encore autres balades! Epistre au Dieu d'Amours! Une Autre Complainte amoureuse! Livre du Debat des Deux Amans! Livre des Trois Jugemens! Livre de Poissy! Epistre Othea! Livre de la Cité des Dames! Livre du Duc des Vrays Amans! Livre du Chemin de Long Estude! Dit de la Pastoure! Epistres sur le 'Roman de la Rose'! Epistre à Eustace Morel! Une Oroison de la Vie et Passion de Nostre Seigneur! Proverbes Moraulx! Enseignemens que Cristine donne à son Filz (Les Enseignemens Moraux)! Une Oroison Nostre Dame! Quinze Joyes Nostre Dame Rimées! Livre de Prudence! Cent Balades d'Amant et de Dame",
BL Add. MS 18850,Livre d'heures,
BnF fr. 24246,Le Livre des amphorismes Ypocras! en medecine! avecques les commens de Galien,
BnF lat. 17294,Breviaire,
BnF fr. 5707,Bible historiale,
BnF fr. 159,Grande Biblie historiale complétée,
BL Cotton MS Otho D II,La Fleur des Histoires de la terre d'Orient and five other travel accounts! Melusine ou La noble histoire de Lusignan,
Cambridge Pembroke College MS 307,Confessio Amantis,
BnF lat. 10426,Bible,
BnF fr. 13091,Psautier,
BnF fr. 176,Rational des divins offices,
NE 1,Bible,
NE 2,Cité de Dieu,
NE 3,Cité de Dieu,
BnF fr. 9106,Ethique et Politique,
BnF fr. 1082,Du Ciel et du monde,
BnF fr. 829,Pèlerinage de Vie humaine! Pèlerinage de l'Ame,
NE 4,Dits moraux des philosophes! Vies des saints! Bestiaire,
NE 5,Légende dorée,
BnF fr. 425,Ci nous dit,
BnF fr. 373,Métamorphoses,
NE 6,Métamorphoses,
NE 7,Histoire de Thèbes et de Troie,
BnF fr. 256,Histoire ancienne jusqu'à César,
BnF fr. 263,Décades,
NE 8,Faits des Romains,
NE 9,Grandes chroniques de France,
BnF fr. 2641,Chroniques,
BnF fr. 1454,Roman de Brut,
NE 10,Livre de Godeffroy de Bouillon,
NE 11,Histoire de Lusignan,
BL Royal 19 E VI,Chroniques de Burgos,
BnF fr. 5631,Devisement du monde,
BnF fr. 1229,Livre de chevalerie,
NE 12,Arbre des batailles,
NE 13,Le Livre des Proprietez des Choses,
BnF fr. 574,Image du monde,
BnF fr. 568,Livre du Trésor,
BnF fr. 1210,Livre de l'information des princes,
NE 14,Livre de l'information des princes,
NE 15,Secret des secrets,
NE 16,Le Roman de la Rose! Le Livre de la Violette! Le Dit de la Panthère! Le Testament de Jean de Meun,
NE 17,Plusieurs balades et dictiés,
BL Add. 29986,Miroir des dames! Le Mirouer de mortel vie! Le Livre du cloistre de l'ame! Les Meditacions saint Anseaume! La Droite forme pour vivre,
BnF fr. 598,Livre des femmes nobles et renommées,
BnF fr. 606,Epistre Othea,
KBR ms. 9394-96,Nouveau Testament,
BmQ ms. 42,Livre d'heures,
BnF fr. 926,L'Aguillon d'amour divine! L'Horloge de sapience! Vivat rex! Chapel des fleurs de lys! Bonne doctrine pour dévotes fames,
BnF fr. 605,Livre de Prudence! Proverbes Moraulx! Epistre à la Royne de France! Epistre à Eustace Morel,
BnF fr. 607,Livre de la Cité des Dames,
BnF fr. 835,"Cent balades! Virelais! ""Rondeaux""! Jeux à Vendre! Epistre au Dieu d'Amours! Livre du Debat des Deux Amans! Livre des Trois Jugemens! Le Dit de Poissy! Epistres sur le 'Roman de la Rose'",
BnF fr. 836,Livre du Chemin de Long Estude! Dit de la Pastoure! Une belle oraison de sainct Gregoires! Livre du Duc des Vrays Amans,
BL Add. 42131,Bedford Psalter and Hours,
Oxford Bodley MS 264,Roman d'Alexandre en vers! Alexander and Dindimus! Li Livres du Graunt Caam,
NE 18,A Saint's Life,
NE 19,Renard de Montaubon en Prose,
NE 20,Dit de la Pastoure,
NE 21,Livre de la Cité des Dames,
NE 22,De morali principis institutione,
NE 23,Les Dits Moraux des Philosophes,
NE 24,The Pilgrimage of the Life of Man,
NE 25,Vie de Saint Etienne,
BnF fr. 445,Chasteau perilleux! L'Horloge de sapience! Le seul parler de Saint Augustin,
BL Royal 15 E VI,Le Livre de la conqueste du roy Alixandre! Le Livre du roy Charlemaine! Ogier le Danois! Quatre fils Aimon! Pontus et Sidoine! Guy de Warwick! Heraud d'Ardennes! Chevalier au Cygne! Arbre des batailles! Livre de politique! Cronicles de Normandie! Breviaire des nobles! Le Livre des fais d'armes et de chevalerie! L'Ordre de la jarretier,
BnF fr. 300,La Fleur des histoires,
NE 26,Psautier,
NE 27,Livre d'heures,
NE 28,Des cas des nobles hommes et femmes,
NE 29,Livre d'heures,
BnF lat. 10525,Psautier Saint Louis,
NE 30,Légende dorée,
NE 31,Cité de Dieu,
NE 32,Des cas des nobles hommes et femmes,
NE 33,Livre du Trésor,
NE 34,Le Livre des Proprietez des Choses,
NE 35,Nouveau Testament,
Chantilly MS 685,Secret des secrets! Débat de réveille matin! Confession de la belle fille! Moralité du bien public! Physiognomonie! Ventes d'amour! Lettre du prêtre Jean! Débat de la noire et de la tannée! Belle Dame sans Merci! Débat de l'homme marié et de l'homme non marié,
NE 36,Pèlerinage de Vie humaine,
Chantilly MS 37,Passion Jhesucrist,
NE 37,Devisement du monde,
NE 38,Faiz d'Alexandre,
NE 39,Mortifiement de vaine plaisance,
BnF fr. 2234,Livre des quatre dames,
BnF fr. 1045,Miracles de sainte Catherine de Fierbois,
BnF fr. 12538,Vie et mystère de saint Vincent en vers et par personnages,
NE 40,Le Montagne de contemplation,
NE 41,Pontus et Sidoine,
NE 42,Melusine ou La noble histoire de Lusignan,
NE 43,Le livre de l'exposition des Euvangilles,
Chantilly MS 145,Pax vobis! Si terrena dixi vobis! Tu discipulus eius sie! Omne regnum in semplum! Certamen dedit ili ut vinceret! Suscepimus deus! Querite dominum! Gloria in altissimus deo! Puer natus est! Tota pulcra es amica mea! Ibi eum videbitis! Sermon sur la Passion Jhesucrist,
BnF fr. 2101,Vie de saint Josse,
NE 44,Confession! Passion Jhesucrist,
NE 45,Livre de la Cité des Dames,
NE 46,Le Livre des trois vertus,
Bnf fr. 5718,Vie et office de sainte Radegande,
BnF fr. 1821,Réductoire de l'âme,
NE 47,Danse aux aveugles,
BnF fr. 1875,Traité de la vie contemplative,
NE 48,Instruction d'un jeune prince,
NE 49,Le Livre des herbes et arbres,
NE 50,Le Livre du gouvernement des rois,
Chantilly MS 38,Passion Jhesucrist,
Chantilly MS 138,Legiloque! Dialogue du père et du filz! Enseignemens Saint Louis! Traité des nouvelletés du monde! Enseignemens d'une dame à une amie! Traite de troys chevaliers! L'Aguillon d'amour divine! Dedicace de l'âme! Lettre adressé par un religieux à un jeune noble pour lui apprendre à se confesser! L'Examen de conscience,
NE 51,Roman de Cleriadus et Meliadice,
NE 52,Livre de Consolation,
Chantilly MS 741,Vie de sainte Catherine de Sienne,
Chantilly MS 159,Le Livre qui parle du prêtre! de l'église et de la messe,
NE 53,Les Miracles de Nostre Dame,
NE 54,Pierre de Provence et la belle Maguelonne,
NE 55,Paris et Vienne,
Chantilly MS 615,Mystère de la Résurrection,
Chantilly 153,La Maison de conscience,
BnF fr. 2099,Vie de saint Julien,
NE 56,Sermons,
NE 57,Ung livre des eshecs,
NE 58,Devisement du monde,
NE 59,Psautier,
NE 60,Le Livre pour l'enseignement des filles,
NE 61,Le Livre de Confession,
Chantilly MS 143,Livre des anges,
NE 62,La Vie Nostre Dame! Vies des saints,
BnF fr. 1841,Livre de perfection! Exposition sur le Carmen de muliere forti,
NE 63,Ung livre de certains laiz et coustumes pour passer le temps,
NE 64,Ung traictié de l'ame devote,
NE 65,Pourquoi Dieu fist l'omme a sa figure,
NE 66,Livre de la vroye ystoire de Troye,
NE 67,Le Livre de Pierre Chastellain,
NE 68,Bible! Le livre de l'exposition des Euvangilles,
NE 69,L'Abuzé en court,
NE 70,Livre du Pellerinaige en prose,
NE 71,Passion Jhesucrist,
NE 72,Le Temple de Boccace,
NE 73,Les trois fils de rois,
NE 74,Epistre Othea,
NE 75,Le Livre de Confession,
Chantilly MS 158,Jardin de Contemplation,
NE 76,Le Livre de Sapience qui enseigne a bien mourir,
NE 77,Les Miracles de Nostre Dame,
NE 78,De la resurrection des mors,
Chantilly MS 154,La Maison de conscience,
Ramsen! Antiquariat Heribert Tenschert (Sotheby's),Pèlerinage de vie humaine en prose,
NE 79,Ung livre de la mort du duc de Bourgoigne,
BnF fr. 1009,Chasteau perilleux! De Senectute! Les Fruits de tribulation,
BnF fr. 316,Miroir historial v. 1,
NE 80,Ung livre...nommé de pluseurs renvoys,
Chantilly MS 36,La Passion de Jésus-Christ en prose,
