about,authors,dateowned,gender,owner,shelfmark,texts
Pourquoi Dieu s'est fait homme; Soliloque touchant le gage de l'ame,"St. Anselm,Hugh of St. Victor",c. 1465-1476,Female,"Agnes of Burgundy, duchess of Bourbon",Chantilly MS 129,"Pourquoi Dieu s'est fait homme,Soliloque touchant le gage de l'âme"
Pourquoi Dieu s'est fait homme; Soliloque touchant le gage de l'ame,"St. Anselm,Hugh of St. Victor",c. 1450-c. 1465,Male,Philip the Good,Chantilly MS 129,"Pourquoi Dieu s'est fait homme,Soliloque touchant le gage de l'âme"
Religious compendium,"Guillaume de Vaurouillon,Jean Gerson,Guillaume de Digulleville,Robert Ciboule,Jean Gerson",1446?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",Chantilly MS 140,"Declaracion de la differance entre pechié mortel et veniel,In festo beati Petri et Pauli apostolorum sermo,Pèlerinage de l'âme en prose,Qui manducat me,Vidimus nunc"
Paradis de la reine Sibylle; Paradis terrestre et l'Excursion aux îles Lipari,"Antoine de La Sale,Antoine de La Sale",1438/1442-1476,Female,"Agnes of Burgundy, duchess of Bourbon",Chantilly MS 653,"Le Paradis de la reine Sibylle,Le Paradis terrestre et l'Excursion aux îles Lipari"
Paradis de la reine Sibylle; Paradis terrestre et l'Excursion aux îles Lipari,"Antoine de La Sale,Antoine de La Sale",1576-?,Male,Etienne Tabourot des Accords,Chantilly MS 653,"Le Paradis de la reine Sibylle,Le Paradis terrestre et l'Excursion aux îles Lipari"
Somme le roi/Mireoir du monde,Frère Laurent,c. 1460/1470-1476,Female,"Agnes of Burgundy, duchess of Bourbon",Beinecke MS 204,Somme le roi
Les trois fils de rois,Anonymous,1463/1465-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 92,Les trois fils de rois
Les trois fils de rois,Anonymous,1488-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 92,Les trois fils de rois
Les trois fils de rois,Anonymous,1476-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 92,Les trois fils de rois
Les trois fils de rois,Anonymous,1476-1488,Male,John II of Bourbon,BnF fr. 92,Les trois fils de rois
Les trois fils de rois,Anonymous,1488-1503,Male,Peter II of Bourbon,BnF fr. 92,Les trois fils de rois
Les trois fils de rois,Anonymous,c. 1463,Male,Philip the Good,BnF fr. 92,Les trois fils de rois
Bible moralisée,Anonymous,1467/1469-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1364-1380,Male,Charles V of France,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1380-1391?,Male,Charles VI of France,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1467/1469-1476,Male,Jacques d'Armagnac,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1349-1364?,Male,John II the Good of France,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1404-1419,Male,John the Fearless,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1476-1502,Male,Peter II of Bourbon,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1391?-1404?,Male,Philip the Bold,BnF fr. 167,Bible moralisée
Bible moralisée,Anonymous,1419-1467/1469,Male,Philip the Good,BnF fr. 167,Bible moralisée
Tristan en prose,Anonymous,14??-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 334,Tristan en prose
Tristan en prose,Anonymous,1476?-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 334,Tristan en prose
Livre de Sydrac,Anonymous,14??-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 762,Livre de Sydrac
Epistre Othéa,Christine de Pizan,1424?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 848,Epistre Othea
Epistre Othéa,Christine de Pizan,15??-1619,Male,Nicolas Moreau,BnF fr. 848,Epistre Othea
Epistre Othéa,Christine de Pizan,c.1400-1404,Male,Philip the Bold,BnF fr. 848,Epistre Othea
Vie et légende de sainte Barbe; Passion Jhesucrist,"Jacobus de Voragine,Anonymous",1445?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 975,"Vie et légende de sainte Barbe,Passion Jhesucrist"
Vie et légende de sainte Barbe; Passion Jhesucrist,"Jacobus de Voragine,Anonymous",1476?-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 975,"Vie et légende de sainte Barbe,Passion Jhesucrist"
Cléomadès,Adenet le Roi,14??-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 1456,Cléomadès
Cléomadès,Adenet le Roi,13??-March 1405,Female,"Margaret of Flanders, duchess of Burgundy",BnF fr. 1456,Cléomadès
Gautier de Coinci Compendium,"Gautier de Coinci,Gautier de Coinci,Anonymous,Gautier de Coinci,Anonymous,Gautier de Coinci",14??-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 1533,"Les cinq joies Nostre Dame,Prière de Théophile,Les XV signes du definement du monde (aka Quinze signes du jugement),Les Miracles de Nostre Dame,Roman de saint Fanuel: Diex qui cest siecle conmencha,Prière à Dieu: Doulz Dieu qui es sans fin"
Religious compendium,"Jean Gobi the Younger,Anonymous,Jean Gerson,Jean Gerson,Jean Gerson,Jean de Varennes,Jean Gerson,Jean Gerson",c. 1450?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 1793,"Dialogue avec un phantom (aka Dispute de l'esprit de Guy de Turno),Le credo qu’on chante en la messe mis en françoiz par maistre Jehan Sarrasin, docteur en theologie, pour les gens lays,Le Miroir de l'ame (de Jean Gerson),Profit de savoir quel est pechié mortel ou veniel,Traité des diverses tentations de l'ennemi,Une vray medicine a l'ame en l'article de la mort,Science de bien mourir (aka La Medicine de l'âme),L'Examen de conscience"
Livre de la Cité des dames,Christine de Pizan,1424?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF fr. 24293,Livre de la Cité des Dames
Livre de la Cité des dames,Christine de Pizan,1627?-1700,Male,Claude Joly,BnF fr. 24293,Livre de la Cité des Dames
Livre de la Cité des dames,Christine de Pizan,15??-15??,Male,Jehan de Poiphylle Taigleure,BnF fr. 24293,Livre de la Cité des Dames
Livre de la Cité des dames,Christine de Pizan,1405?-1419,Male,John the Fearless,BnF fr. 24293,Livre de la Cité des Dames
Livre de la Cité des dames,Christine de Pizan,1405?-1424,Female,"Margaret of Bavaria, duchess of Burgundy",BnF fr. 24293,Livre de la Cité des Dames
Livre de la Cité des dames,Christine de Pizan,15??-1619,Male,Nicolas Moreau,BnF fr. 24293,Livre de la Cité des Dames
Livre d'heures,Anonymous,c. 1465-1476,Female,"Agnes of Burgundy, duchess of Bourbon",BnF lat. 1183,Livre d'heures
Livre d'heures,Anonymous,c. 1465,Male,Philip the Good,BnF lat. 1183,Livre d'heures
Miroir historial v. 1,Vincent of Beauvais,14??-1477?,Male,Charles the Bold,BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1431?-14??,Female,"Isabella of Portugal, duchess of Burgundy",BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,?-1409,Male,Jean de Montaigu,BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1409?-9 February 1413,Male,John Duke of Berry,BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,9 February 1413-1419?,Male,John the Fearless,BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1419?-January 1424,Female,"Margaret of Bavaria, duchess of Burgundy",BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1424-1431?,Male,Philip the Good,BnF n.a.f. 15939-41,Miroir historial v. 1
Miroir historial v. 2,Vincent of Beauvais,14??-1477?,Male,Charles the Bold,BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,1431?-14??,Female,"Isabella of Portugal, duchess of Burgundy",BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,?-1409,Male,Jean de Montaigu,BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,1409?-9 February 1413,Male,John Duke of Berry,BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,9 February 1413-1419?,Male,John the Fearless,BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,1419?-1424,Female,"Margaret of Bavaria, duchess of Burgundy",BnF n.a.f. 15942-44,Miroir historial v. 2
Miroir historial v. 2,Vincent of Beauvais,1424-1431?,Male,Philip the Good,BnF n.a.f. 15942-44,Miroir historial v. 2
Roman d'Alexandre; Voeux du Paon; Restor du Paon; Parfait du Paon,"Jean de le Mote,Jean Brisebarre,Alexandre de Bernay, called Alexandre de Paris,Jacques de Longuyon",1404-1419,Male,John the Fearless,BnF fr. 12565,"Parfait du Paon,Restor du Paon,Roman d'Alexandre (verse, De Bernay),Voeux du Paon"
Roman d'Alexandre; Voeux du Paon; Restor du Paon; Parfait du Paon,"Jean de le Mote,Jean Brisebarre,Alexandre de Bernay, called Alexandre de Paris,Jacques de Longuyon",1419?-1424,Female,"Margaret of Bavaria, duchess of Burgundy",BnF fr. 12565,"Parfait du Paon,Restor du Paon,Roman d'Alexandre (verse, De Bernay),Voeux du Paon"
Roman d'Alexandre; Voeux du Paon; Restor du Paon; Parfait du Paon,"Jean de le Mote,Jean Brisebarre,Alexandre de Bernay, called Alexandre de Paris,Jacques de Longuyon",1384?-1404,Male,Philip the Bold,BnF fr. 12565,"Parfait du Paon,Restor du Paon,Roman d'Alexandre (verse, De Bernay),Voeux du Paon"
Très Belles Heures du duc de Berry,Anonymous,post-1430-1471?,Female,"Isabella of Portugal, duchess of Burgundy",KBR MS 11060-61,Livre d'heures
Très Belles Heures du duc de Berry,Anonymous,?-1402/1403,Male,John Duke of Berry,KBR MS 11060-61,Livre d'heures
Très Belles Heures du duc de Berry,Anonymous,1404-1419,Male,John the Fearless,KBR MS 11060-61,Livre d'heures
Très Belles Heures du duc de Berry,Anonymous,1420-1424,Female,"Margaret of Bavaria, duchess of Burgundy",KBR MS 11060-61,Livre d'heures
Très Belles Heures du duc de Berry,Anonymous,1402/1403-1404,Male,Philip the Bold,KBR MS 11060-61,Livre d'heures
Le saint Graal; Merlin en prose; Suite-Vulgate du Merlin; Lancelot du Lac,"Anonymous,Anonymous,Anonymous,Anonymous",1405-1407,Male,Jacques Rapondi,Arsenal fr. 3479,"Merlin en prose,Lancelot du Lac (aka Lancelot en prose),Estoire del Saint Graal,Suite-Vulgate du Merlin"
Le saint Graal; Merlin en prose; Suite-Vulgate du Merlin; Lancelot du Lac,"Anonymous,Anonymous,Anonymous,Anonymous",1407-1419,Male,John the Fearless,Arsenal fr. 3479,"Merlin en prose,Lancelot du Lac (aka Lancelot en prose),Estoire del Saint Graal,Suite-Vulgate du Merlin"
Le saint Graal; Merlin en prose; Suite-Vulgate du Merlin; Lancelot du Lac,"Anonymous,Anonymous,Anonymous,Anonymous",1419?-1424,Female,"Margaret of Bavaria, duchess of Burgundy",Arsenal fr. 3479,"Merlin en prose,Lancelot du Lac (aka Lancelot en prose),Estoire del Saint Graal,Suite-Vulgate du Merlin"
