"Agnes of Burgundy, duchess of Bourbon",Charles I of Bourbon,Spouse
"Agnes of Burgundy, duchess of Bourbon",John II of Bourbon,Son
"Agnes of Burgundy, duchess of Bourbon",John the Fearless,Father
"Agnes of Burgundy, duchess of Bourbon","Margaret of Bavaria, duchess of Burgundy",Mother
"Agnes of Burgundy, duchess of Bourbon",Peter II of Bourbon,Son
"Agnes of Burgundy, duchess of Bourbon","Joan of Bourbon, princess of Orange",Daughter
"Agnes of Burgundy, duchess of Bourbon","Anne of Burgundy, duchess of Bedford",Sister
"Agnes of Burgundy, duchess of Bourbon",Charles II Cardinal of Bourbon,Son
"Agnes of Burgundy, duchess of Bourbon",Philip the Good,Brother
"Agnes of Burgundy, duchess of Bourbon","Anne of France, duchess of Bourbon",Daughter-in-law
"Agnes of Burgundy, duchess of Bourbon","Joan of Valois, duchess of Bourbon",Daughter-in-law
"Agnes of Burgundy, duchess of Bourbon","Marie of Berry, duchess of Bourbon",Mother-in-law
"Agnes of Burgundy, duchess of Bourbon",John I of Bourbon,Father-in-law
"Agnes of Burgundy, duchess of Bourbon","Catherine d'Alencon, duchess of Bavaria-Ingolstadt",Daughter-in-law
"Agnes of Burgundy, duchess of Bourbon","Margaret of Burgundy, duchess of Guyenne",Sister
"Agnes of Burgundy, duchess of Bourbon","Isabella of Portugal, duchess of Burgundy",Sister-in-law
"Agnes of Burgundy, duchess of Bourbon","Michelle of Valois, duchess of Burgundy",Sister-in-law
"Agnes of Burgundy, duchess of Bourbon","Marie of Burgundy, duchess of Cleves",Sister
"Agnes of Burgundy, duchess of Bourbon","Gabrielle de la Tour d'Auvergne, countess of Montpensier",Sister-in-law
"Agnes of Burgundy, duchess of Bourbon","Isabella of Bourbon, countess of Charrolais",Daughter
"Agnes of Burgundy, duchess of Bourbon","Marie of Bourbon, duchess of Calabria",Daughter
"Agnes of Burgundy, duchess of Bourbon","Margaret of Bourbon, (posthumous) duchess of Savoy",Daughter
"Agnes of Burgundy, duchess of Bourbon","Catherine of Bourbon, duchess of Guelders",Daughter
Agnes Sorel,"Marie Margaret of Valois, countess of Taillebourg",Daughter
